Stock ticker,Stock name,Last price of stock,Stock change,Stock percentage change,Volume,Average volume over 3 months,Market cap,PE ratio
PLTR,Palantir Technologies Inc.,25.21,+1.88,+8.06%,122905000,60580000,53708000000,280.11
MARA,Marathon Digital Holdings Inc.,20.67,+3.15,+17.98%,86431000,63024000,5641000000,16.54
TSLA,Tesla Inc.,184.76,+3.57,+1.97%,83965000,102000000,589237000000,47.25
NIO,NIO Inc.,5.69,+0.12,+2.15%,75083000,53717000,11875000000,N/A
AAPL,Apple Inc.,181.71,-1.67,-0.91%,76250000,61736000,2786000000000,28.22
SOFI,SoFi Technologies Inc.,7.16,+0.20,+2.87%,49600000,50780000,7564000000,N/A
GME,GameStop Corp.,16.31,-0.16,-0.97%,47362000,4229000,5043000000,815.50
AAL,American Airlines Group Inc.,14.65,+0.80,+5.78%,46371000,30640000,9612000000,20.63
AMD,Advanced Micro Devices Inc.,155.78,+5.18,+3.44%,44245000,64373000,251789000000,225.77
LCID,Lucid Group Inc.,3.05,+0.2650,+9.52%,46248000,26665000,7036000000,N/A
TCN,Tricon Residential Inc.,11.25,+0.02,+0.18%,36622000,6933000,3067000000,27.44
PFE,Pfizer Inc.,28.16,+0.35,+1.26%,37221000,41164000,159457000000,N/A
NVDA,NVIDIA Corporation,921.4,+33.51,+3.77%,36943000,53346000,2303000000000,77.43
AMZN,Amazon.com Inc.,188.7,+2.49,+1.34%,33943000,42028000,1964000000000,52.71
MPW,Medical Properties Trust Inc.,4.5,-0.3700,-7.60%,31689000,18494000,2930000000,N/A
DNA,Ginkgo Bioworks Holdings Inc.,0.9881,+0.0331,+3.47%,30194000,30172000,2104000000,N/A
RIVN,Rivian Automotive Inc.,10.33,+0.26,+2.58%,30465000,46450000,10282000000,N/A
CCL,Carnival Corporation & plc,14.6,+0.16,+1.11%,27796000,30763000,18916000000,45.63
RIOT,Riot Platforms Inc.,10.77,+0.35,+3.36%,28166000,26460000,3110000000,25.64
INTC,Intel Corporation,30.97,+0.19,+0.63%,34265000,49724000,134020999999,31.93
F,Ford Motor Company,12.5,+0.07,+0.56%,26768000,52828000,49670000000,12.89
CLSK,CleanSpark Inc.,17.43,+1.28,+7.93%,26256000,38860000,3929000000,N/A
WBD,Warner Bros. Discovery Inc.,7.96,-0.01,-0.13%,29043000,30584000,19503000000,N/A
SNAP,Snap Inc.,16.84,+0.59,+3.63%,32363000,35150000,27635000000,N/A
BAC,Bank of America Corporation,37.69,+0.44,+1.18%,28390000,39638000,294750000000,13.00
